Pathogen_Genus,Pathogen_Species,UNITE_Taxon_String,Disease_Name,Leaf_Symptoms,Tuber_Symptoms,Economic_Importance,Global_Distribution,East_Africa_Presence,Eritrea_Presence,Detected_in_Study,Prevalence_Percent,Total_Reads,Samples_Positive,Reference_Source,Reference_URL
Alternaria,solani,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__solani,Early blight,"Small to large brown spots with concentric rings creating target-spot appearance starting on older lower leaves; lesions may coalesce causing complete yellowing and defoliation","Dark sunken circular to irregular lesions on tubers with dry corky brown flesh underneath; lesions often surrounded by raised violet-blue border",High,Worldwide,Confirmed in Ethiopia and Kenya,Confirmed in Eritrea (tomato - 2014 study),Yes,100.0,171416,17,CABI Invasive Species Compendium,https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.4528
Alternaria,alternata,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__alternata,"Brown spot and black pit","Small, dark brown necrotic spots (up to 10 mm diameter) that may coalesce into larger necrotic areas, lacking prominent concentric rings. Severely affected foliage may dry up and senesce prematurely","Deep, black, sunken pits (black pit) with definite margins that often develop in storage, particularly on tubers damaged during harvest",Low,Worldwide,Confirmed in Kenya (on spinach),No data found,Yes,100.0,171416,17,University of Florida Plant Pathology,https://plantpath.ifas.ufl.edu/extension/spore-report/potato/#content
Fusarium,oxysporum,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__oxysporum,Fusarium wilt,"Initial symptoms include vein clearing and leaf epinasty followed by stunting, yellowing of lower leaves, progressive wilting, defoliation, and plant death. A diagnostic feature is brown discoloration of vascular tissue visible in stem cross-sections.","Dry, firm, circular, light to dark brown lesions on tuber surface that may shrink and dry out. Infection usually limited to cortex, does not typically extend beyond vascular ring.",High,Worldwide,No data found,No data found,Yes,100.0,270216,17,Molecular Plant Pathology Journal,https://bsppjournals.onlinelibrary.wiley.com/doi/10.1111/j.1364-3703.2009.00538.x
Fusarium,solani,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__solani,"Fusarium dry rot (tuber) / Fusarium wilt (plant)","Leaf symptoms typically absent or include wilting and leaf dehydration caused by fungal toxins transported through vascular system; foliar symptoms more common with other Fusarium species like F. oxysporum","Dry rot on tuber surface appears as brown shriveled tissue with concentric streaks, sometimes showing pinkish to whitish mycelium; cut tubers reveal brown rot progressing into flesh with potential internal cavities",High,Worldwide,No data found,No data found,Yes,100.0,270216,17,Le plant de pomme de terre français,https://www.plantdepommedeterre.org/en/maladie-ravageur/dry-rots-and-fusarium-wilt/
Fusarium,sambucinum,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__sambucinum,Fusarium dry rot,"Leaf symptoms typically not observed or are secondary; primarily a tuber and storage pathogen","Tuber surface shows brown sunken lesions that shrivel; internal dry rot with brown discoloration and possible cavities; pinkish-white mycelium may appear under humid conditions",Medium,Worldwide,Confirmed in Ethiopia,No data found,Yes,100.0,270216,17,Le plant de pomme de terre français,https://www.plantdepommedeterre.org/en/maladie-ravageur/dry-rots-and-fusarium-wilt/
Verticillium,dahliae,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Verticillium;s__dahliae,Verticillium wilt,"Interveinal chlorosis and necrosis beginning on lower leaves, often with V-shaped lesions; wilting and premature vine death occur as disease progresses with symptoms more severe on warm sunny days","None typically; vascular ring at stem end may show light brown to tan discoloration in some cultivars",High,"Worldwide in temperate and warm production regions","Confirmed in Kenya; reported in Uganda and Tanzania; likely present in Ethiopia",No data found,No,0.0,0,0,APS Plant Health Instructor,https://www.apsnet.org/edcenter/pdlessons/Pages/VerticilliumWilt.aspx
Rhizoctonia,solani,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__Rhizoctonia;s__solani,"Black Scurf & Stem Canker","Reddish-brown to brown, sunken cankers on underground stems and stolons. Aboveground symptoms include yellowing, purpling, upward curling of leaves, and stunted growth. In severe cases, aerial tubers form on stems.","Black, irregularly shaped, hard masses (sclerotia) on the tuber surface, often described as 'dirt that won't wash off'. Superficial and does not damage flesh but affects marketability. Can cause misshapen tubers and netting or elephant hide on skin.",Medium,Worldwide,Confirmed in Ethiopia and Kenya,No data found,No,0.0,0,0,UC IPM,https://ipm.ucanr.edu/agriculture/potato/stem-and-stolon-canker/
Colletotrichum,coccodes,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Glomerellaceae;g__Colletotrichum;s__coccodes,Black dot,"Small water-soaked lesions turn dark brown to black typically associated with wounds from windblown soil; infected plants may wilt with lower and middle leaves becoming chlorotic; premature death of haulms with leaves yellowing and curling upward.","Silvery to grey irregular lesions on tuber surface with characteristic black microsclerotia (black dots) visible within lesions; lesions may appear brown with poorly defined margin; deep sunken lesions may develop under cold storage.",Medium,Worldwide,"Confirmed in Ethiopia, Kenya, Tanzania, Uganda, Sudan, and South Africa",No data found,No,0.0,0,0,CABI Distribution Maps of Plant Diseases,https://www.cabidigitallibrary.org/doi/10.1079/DMPD/20113314308
Phytophthora,infestans,k__Chromista;p__Oomycota;c__Peronosporea;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__infestans,Late blight,"Water-soaked, light to dark brown or blackish lesions on leaves often with pale green borders that expand rapidly; white sporulation (sporangia) appears at lesion margins on underside of leaves under humid conditions.","Firm, dark purplish-brown to copper brown sunken lesions on tuber surface; internally the infected flesh appears dry, reddish-brown to granular extending into flesh; often secondary bacterial soft rot follows.",High,Worldwide,Confirmed in Ethiopia and Kenya,Suspected,No,0.0,0,0,APS Education Center,https://www.apsnet.org/edcenter/pdlessons/Pages/LateBlight.aspx
Helminthosporium,solani,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Massarinaceae;g__Helminthosporium;s__solani,Silver scurf,"No foliar symptoms - pathogen only affects potato tubers","Surface blemishes that are tan to gray to black irregular lesions; when wet, lesions have silvery appearance; can coalesce to cover large portion of tuber; may cause shrinkage and water loss in storage",Medium,Worldwide,Confirmed in Mozambique,No data found,No,0.0,0,0,CABI Compendium,https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.26794
